EID,WSPROCOUNT,BSPROCOUNT,PROCOUNT
354703,,6,6
354860,1,,1
354877,7,5,12
355042,,2,2
355223,,1,1
355271,1,1,2
355406,,1,1
355511,,1,1
355519,,2,2
355522,3,2,5
355524,,1,1
355731,,1,1
355793,,3,3
355847,,10,10
355915,,1,1
355940,,1,1
356000,1,1,2
356091,1,,1
356126,1,,1
356127,,3,3
356166,,1,1
356291,1,,1
356454,17,2,19
356499,,6,6
356551,2,,2
356720,,1,1
356964,1,,1
357003,,1,1
357149,,1,1
357506,,3,3
357572,,1,1
357613,,4,4
357643,,2,2
357656,1,,1
357880,,1,1
357964,15,,15
358501,1,,1
358930,,1,1
358992,8,,8
359170,4,6,10
359352,,1,1
359511,,1,1
359559,1,,1
359895,1,,1
359941,,1,1
360230,,3,3
360344,9,,9
360408,1,,1
360534,,1,1
360641,,1,1
360754,,1,1
360824,,2,2
360825,,1,1
360964,,1,1
361008,1,1,2
361069,,2,2
361090,,50,50
361337,1,,1
361348,,1,1
361517,1,,1
361565,,1,1
361641,,3,3
361717,,2,2
361754,,4,4
361882,,1,1
361947,3,,3
361952,4,,4
362015,2,26,28
362390,68,41,109
362446,4,,4
362555,1,,1
362598,,1,1
362720,47,4,51
362752,,1,1
362847,11,15,26
363199,,4,4
363204,,9,9
363470,1,,1
363745,1,,1
363780,1,,1
363837,4,,4
363875,,1,1
364003,,11,11
364116,1,3,4
364243,3,,3
364302,,1,1
364542,1,,1
364570,,1,1
364719,,7,7
364868,,1,1
364889,,10,10
364893,,9,9
365013,,2,2
365192,1,,1
365272,4,29,33
365563,2,,2
365613,,7,7
365636,1,,1
365759,,1,1
365840,1,1,2
365860,1,,1
366007,1,20,21
366217,1,1,2
366334,,2,2
366631,,1,1
366646,,1,1
366786,1,,1
366844,,6,6
366859,,3,3
366927,1,1,2
366981,2,,2
367039,,1,1
367165,,1,1
367244,1,1,2
367464,2,,2
367609,,2,2
368061,1,,1
368145,3,5,8
368296,1,,1
368312,1,,1
368416,4,,4
368453,,1,1
368530,3,,3
368569,,2,2
368702,1,2,3
368982,4,19,23
369026,,1,1
369230,1,,1
369241,,1,1
369574,,1,1
369665,3,6,9
369797,,1,1
369809,3,,3
370023,,1,1
370081,6,386,392
370365,2,,2
370517,,1,1
370552,5,5,10
370570,1,,1
370590,1,10,11
370813,,1,1
370893,,1,1
370999,,2,2
371151,,1,1
371175,2,,2
371368,3,,3
371405,1,,1
371458,,4,4
371514,1,3,4
371727,,1,1
371842,,2,2
371849,2,,2
372341,,2,2
372386,,1,1
372422,,5,5
372574,,2,2
372644,8,2,10
372694,,2,2
372902,,1,1
372926,,3,3
372986,,1,1
373070,1,,1
373247,,1,1
373252,,1,1
373330,20,32,52
373482,2,,2
373514,1,,1
373633,2,1,3
373649,1,,1
373839,,1,1
373911,2,2,4
374014,,1,1
374291,,1,1
374312,17,3,20
374560,1,5,6
374689,,1,1
375034,,1,1
375049,,1,1
375094,1,2,3
375136,,1,1
375435,1,,1
375534,9,8,17
375635,,3,3
375666,,1,1
375724,,2,2
376009,2,2,4
376255,,6,6
376499,,1,1
376576,1,,1
376815,,1,1
377133,,1,1
377304,2,,2
377597,2,,2
377641,1,,1
377676,1,4,5
377824,2,,2
377925,4,1,5
377928,,1,1
378001,1,,1
378058,1,2,3
378169,,1,1
378271,,1,1
378486,7,,7
378522,,1,1
378631,,10,10
378660,2,11,13
378663,,1,1
378707,11,4,15
378710,1,,1
379093,,8,8
379112,4,,4
379327,1,,1
379394,2,,2
379432,,1,1
379548,,3,3
379966,1,,1
380013,,5,5
380029,,1,1
380053,27,,27
380177,,1,1
380374,1,,1
380489,1,5,6
380521,,4,4
380529,,1,1
380542,,4,4
380545,1,6,7
380583,,1,1
380593,,1,1
380674,2,,2
380842,,1,1
380844,5,3,8
380875,,115,115
380897,10,2,12
380913,1,,1
380980,,1,1
381072,1,,1
381456,,3,3
381518,,1,1
381657,2,,2
381699,21,,21
381878,,1,1
381897,4,,4
381901,,2,2
381966,2,2,4
381968,1,,1
382071,,1,1
382134,1,3,4
382216,1,1,2
382286,,1,1
382412,,1,1
382464,1,,1
382567,,1,1
382636,,1,1
382673,1,,1
382695,1,1,2
382926,1,,1
382940,,3,3
383012,1,,1
383035,2,,2
383061,,5,5
383124,,1,1
383242,,1,1
383901,,12,12
383913,,3,3
384040,2,,2
384133,3,,3
384304,1,,1
384339,,1,1
384436,1,,1
384485,12,3,15
384526,,1,1
384655,,1,1
384711,,26,26
384802,1,,1
384993,,1,1
385012,1,,1
385361,,1,1
385428,,1,1
385432,,2,2
385444,,1,1
385479,,2,2
385668,,1,1
385820,1,6,7
385870,,1,1
385962,,1,1
386145,1,,1
386189,9,,9
386324,,6,6
386381,1,,1
386416,12,30,42
386468,,1,1
386550,2,,2
386589,4,,4
386711,,1,1
386907,5,2,7
386928,1,,1
386964,,1,1
386990,,1,1
387221,,1,1
387451,1,3,4
387456,6,9,15
387575,,1,1
387582,,1,1
387808,1,3,4
387820,,1,1
388149,3,,3
388293,5,,5
388487,,1,1
388512,,69,69
388551,,2,2
388609,1,,1
388636,5,5,10
388647,,1,1
388789,,1,1
388829,,3,3
388855,1,,1
388907,,1,1
389033,,3,3
389038,68,120,188
389460,2,,2
389464,1,,1
389534,,4,4
389581,2,4,6
389599,,5,5
389939,1,,1
390014,,1,1
390267,8,,8
390373,2,,2
390703,1,,1
390855,,1,1
391049,,1,1
391053,2,,2
391143,,1,1
391166,,1,1
391209,,2,2
391268,,1,1
391450,,1,1
391525,3,1,4
391560,,2,2
391820,1,,1
391852,1,6,7
392008,,6,6
392034,13,,13
392117,,1,1
392196,,10,10
392313,1,5,6
392658,1,,1
392668,,1,1
392733,,1,1
392780,,1,1
393197,,1,1
393460,,1,1
393469,2,1,3
393590,2,,2
393624,,1,1
393646,,1,1
393647,,1,1
393881,,1,1
393884,,1,1
394170,1,,1
394177,,11,11
394514,,1,1
394637,,1,1
395046,3,1,4
395194,,1,1
395443,,1,1
395712,1,1,2
395729,,1,1
395932,,1,1
395999,,1,1
396117,2,,2
396325,,1,1
396350,,3,3
396426,,1,1
396640,1,1,2
396658,37,,37
396823,,2,2
396865,,7,7
397031,9,,9
397140,4,,4
397338,1,,1
397467,5,25,30
397535,52,27,79
397577,,1,1
397609,,2,2
397688,2,1,3
397779,1,17,18
397897,,6,6
398151,2,,2
398188,2,4,6
398200,2,,2
398241,,2,2
398276,,1,1
398386,1,,1
398533,,1,1
398662,,2,2
398839,,3,3
398874,,10,10
398892,16,4,20
399198,,1,1
399237,2,,2
399439,3,,3
399480,7,7,14
399577,,3,3
399604,1,,1
399625,,3,3
399714,,1,1
399928,3,380,383
400053,,4,4
400078,,1,1
400093,,1,1
400208,2,,2
400248,,1,1
400342,,2,2
400533,,2,2
400676,8,3,11
400703,1,,1
400883,,1,1
400931,5,2,7
401080,,1,1
401082,1,,1
401167,2,,2
401214,1,2,3
401218,1,8,9
401446,,1,1
401524,,3,3
401602,1,,1
401634,1,,1
401668,,1,1
401699,1,,1
401883,1,,1
401941,,1,1
402053,,1,1
402057,,1,1
402146,,3,3
402285,,3,3
402309,,1,1
402373,,2,2
402549,,7,7
402611,2,10,12
402699,32,13,45
402799,,1,1
402887,5,,5
403083,,2,2
403244,,1,1
403258,1,11,12
403322,2,11,13
403327,1,,1
403429,1,,1
403561,1,,1
403572,,1,1
403779,,15,15
403796,133,122,255
403893,,2,2
403956,2,,2
404273,1,,1
404479,14,4,18
404786,,1,1
405119,1,,1
405259,2,,2
405483,,1,1
405504,1,,1
405563,1,6,7
405696,,2,2
406045,,1,1
406089,1,,1
406146,,1,1
406223,,2,2
406345,,1,1
406366,,1,1
406494,2,,2
406607,1,18,19
406651,,3,3
406801,1,,1
406861,,1,1
406899,,2,2
407021,,4,4
407061,1,3,4
407080,,1,1
407213,,1,1
407311,,9,9
407324,,4,4
407374,1,,1
407628,2,,2
407682,,1,1
407853,1,,1
407933,2,9,11
407935,1,,1
408066,,1,1
408388,1,,1
408460,,1,1
408497,2,13,15
408749,1,1,2
408971,34,1,35
409050,,1,1
409146,,2,2
409288,,1,1
409324,,1,1
409470,2,,2
409574,,1,1
409643,,1,1
409814,,1,1
409840,1,4,5
409873,,2,2
410009,7,237,244
410109,2,,2
410353,,72,72
410621,,1,1
410650,1,53,54
410838,,1,1
410848,1,,1
410931,,5,5
411087,,1,1
411112,7,1,8
411120,,1,1
411128,,3,3
411364,,1,1
411375,,4,4
411628,,1,1
411629,,8,8
411726,,1,1
411743,,1,1
411812,,16,16
411901,,2,2
411902,,1,1
412022,,1,1
412402,2,1,3
412468,1,,1
412562,,1,1
412641,2,,2
412759,2,19,21
412890,,1,1
412953,1,,1
413168,,4,4
413171,,1,1
413245,6,,6
413329,,4,4
413486,3,,3
413496,,2,2
413594,,4,4
414028,1,,1
414081,,1,1
414123,,1,1
414241,,3,3
414246,,3,3
414430,,1,1
414471,,1,1
414577,1,1,2
414803,,3,3
414854,,1,1
414894,,1,1
414905,3,2,5
415174,,1,1
415466,,1,1
415489,,1,1
415858,,1,1
415880,,4,4
416186,,1,1
416475,3,,3
416579,,1,1
416716,,1,1
416759,,2,2
416865,1,,1
416979,,2,2
417019,,3,3
417152,,2,2
417233,,1,1
417321,,5,5
417338,,2,2
417434,1,,1
417439,1,2,3
417486,,1,1
417490,3,,3
417537,2,1,3
417627,1,,1
417678,,1,1
417761,7,2,9
417798,,4,4
418095,2,,2
418171,5,3,8
418175,3,,3
418187,,1,1
418245,18,1,19
418280,,6,6
418481,1,2,3
418644,,1,1
419052,1,4,5
419075,1,9,10
419087,,1,1
419104,,1,1
419161,4,,4
419440,12,1,13
419578,,2,2
419638,1,,1
419651,,1,1
419757,,12,12
419767,,10,10
419800,,8,8
419829,,2,2
419947,,4,4
420047,,2,2
420183,14,,14
420209,1,,1
420374,2,3,5
420403,1,,1
420427,1,1,2
420524,12,2,14
420592,2,17,19
420748,,1,1
420758,,2,2
420804,29,11,40
420810,,2,2
420839,,3,3
421018,,1,1
421047,,3,3
421071,2,,2
421246,3,,3
421265,,1,1
421424,1,5,6
421448,,1,1
421493,,3,3
421684,,1,1
421735,,1,1
421978,,3,3
422043,1,2,3
422051,3,4,7
422293,,1,1
422297,1,,1
422462,,1,1
422519,5,,5
422747,,1,1
422826,,1,1
422859,,1,1
423056,,1,1
423074,,1,1
423239,1,,1
423240,,2,2
423242,,2,2
423252,,1,1
423295,2,,2
423337,1,,1
423381,3,1,4
423435,2,,2
423582,,1,1
423699,,1,1
423727,,3,3
423802,,4,4
423860,,1,1
423862,8,10,18
423983,,4,4
423995,,1,1
424049,1,,1
424143,1,7,8
424263,,1,1
424413,,18,18
424439,,161,161
424796,,1,1
424848,7,12,19
424897,,1,1
424930,,1,1
424960,1,,1
425027,1,,1
425204,2,1,3
425360,,1,1
425363,,1,1
425371,,1,1
425426,,1,1
425480,,1,1
425540,1,,1
425957,,1,1
426027,,2,2
426111,,1,1
426544,4,10,14
426585,3,2,5
426675,2,,2
426721,,11,11
426851,1,,1
427044,,1,1
427107,,1,1
427183,,3,3
427227,1,,1
427394,3,,3
427506,2,,2
427523,,1,1
427620,1,,1
427654,,2,2
427830,,3,3
427970,,1,1
427995,,2,2
428119,,2,2
428173,1,1,2
428272,4,,4
428399,2,,2
428419,1,,1
428575,1,,1
428676,1,,1
428739,,1,1
428836,,1,1
428886,2,,2
428948,,1,1
428958,1,,1
428994,1,2,3
429023,,2,2
429306,,2,2
429310,6,,6
429312,1,,1
429372,,3,3
429417,,1,1
429584,,4,4
429601,4,12,16
429738,10,25,35
429823,1,,1
429871,,1,1
430006,,1,1
430092,1,1,2
430096,1,,1
430314,,1,1
430321,1,,1
430466,,1,1
430476,,1,1
430487,,2,2
430534,,3,3
430545,,1,1
430769,2,,2
430934,1,,1
431017,,27,27
431658,,1,1
432072,,1,1
432248,11,,11
432330,,1,1
432607,,1,1
432624,1,,1
432638,,1,1
432690,,1,1
432866,,4,4
433016,,2,2
433023,,3,3
433157,2,,2
433255,,1,1
433603,,1,1
433663,,1,1
433679,,1,1
433917,1,,1
434346,1,,1
434394,,4,4
434427,,1,1
434448,2,,2
434571,,1,1
434607,,1,1
434816,,5,5
434987,,1,1
435016,,2,2
435084,,1,1
435089,,1,1
435244,,1,1
435255,,5,5
435282,5,,5
435288,4,1,5
435363,,1,1
435444,1,,1
435593,,1,1
435605,1,,1
435665,,2,2
435945,,3,3
435962,3,,3
435971,1,3,4
436051,1,,1
436171,,1,1
436181,1,7,8
436232,,2,2
436305,1,1,2
436316,,1,1
436345,4,12,16
436354,,1,1
436524,,1,1
436527,,1,1
436712,6,2,8
436800,5,29,34
436903,2,4,6
436907,1,20,21
436949,,1,1
436952,,3,3
436961,,1,1
437247,,2,2
437256,,1,1
437271,,1,1
437462,1,2,3
437588,,2,2
437638,,1,1
437702,,2,2
437715,,1,1
437720,,1,1
437761,,1,1
438076,,1,1
438215,,1,1
438240,,1,1
438295,2,,2
438299,,3,3
438330,,7,7
438473,,1,1
438520,,1,1
438539,,2,2
438556,4,,4
438617,,1,1
438713,1,,1
438870,,1,1
439002,,1,1
439311,6,3,9
439361,,1,1
439882,1,3,4
440216,3,,3
440303,,1,1
440321,6,,6
440412,1,,1
440433,,1,1
440688,,2,2
440767,,1,1
440850,13,2,15
440878,6,,6
440984,,1,1
441028,,1,1
441108,9,,9
441329,3,,3
441342,,6,6
441471,1,,1
441608,,1,1
442010,10,5,15
442031,2,,2
442061,,2,2
442062,1,,1
442134,10,2,12
442365,,1,1
442371,9,3,12
442519,,1,1
442585,23,31,54
442646,1,1,2
442718,,1,1
442827,,1,1
442912,,1,1
443191,,1,1
443232,2,,2
443432,,2,2
443441,2,1,3
443490,,1,1
443566,,1,1
443571,1,,1
443572,11,,11
443832,1,,1
443861,,1,1
443930,,6,6
443998,5,5,10
444246,1,9,10
444412,,6,6
444460,3,,3
444495,,2,2
444530,7,11,18
444540,5,1,6
444570,,1,1
444615,7,,7
444618,1,,1
444807,4,8,12
444882,33,6,39
444954,,1,1
444963,,2,2
445049,1,1,2
445339,3,10,13
445421,2,2,4
445478,,1,1
445564,,1,1
445591,3,4,7
445667,,1,1
445773,,2,2
445873,,1,1
445874,,1,1
445900,,1,1
445933,1,,1
445934,,1,1
446123,,2,2
446159,,1,1
446183,1,,1
446219,,1,1
446335,,3,3
446408,1,,1
446462,,19,19
446668,,1,1
446709,1,,1
447045,,1,1
447165,,1,1
447360,5,9,14
447411,,14,14
447851,,1,1
447858,,2,2
447880,,1,1
448030,,2,2
448079,27,3,30
448243,1,,1
448261,,1,1
448437,,2,2
448463,2,,2
448469,,2,2
448840,3,,3
448958,,3,3
448983,,1,1
449209,,2,2
449448,2,1,3
449694,,1,1
449722,,16,16
449801,,1,1
449939,1,,1
450039,1,,1
450131,,2,2
450169,,3,3
450318,,2,2
450494,,1,1
450663,7,,7
450716,4,,4
450827,12,19,31
450878,2,6,8
450911,,1,1
451072,,1,1
451097,,1,1
451102,,2,2
451111,,1,1
451218,,1,1
451670,,1,1
451781,,1,1
451945,,5,5
451992,1,,1
451999,2,,2
452028,,1,1
452240,,1,1
452276,,4,4
452605,1,15,16
452711,1,,1
452731,2,8,10
453081,,3,3
453211,4,3,7
453232,,3,3
453316,1,,1
453321,,2,2
453663,,3,3
454055,,1,1
454255,1,,1
454273,,1,1
454365,2,,2
454431,,1,1
454433,1,,1
454641,,1,1
454667,1,,1
454689,,1,1
454824,,1,1
454881,10,3,13
454952,1,,1
455048,,129,129
455167,,1,1
455299,8,72,80
455309,,8,8
455359,,15,15
455481,,1,1
455534,1,,1
455569,,1,1
455570,3,4,7
455571,1,,1
455706,,1,1
455846,1,1,2
455872,,1,1
455953,,1,1
455961,1,,1
455983,2,,2
456000,1,9,10
456034,1,,1
456054,,2,2
456140,,1,1
456221,1,3,4
456249,,2,2
456280,,5,5
456303,,1,1
456523,5,8,13
456624,,1,1
456706,1,,1
456727,1,,1
456831,4,,4
456943,,2,2
456950,1,2,3
456952,,3,3
457016,1,3,4
457122,1,13,14
457215,4,,4
457256,,1,1
457452,1,1,2
457510,2,1,3
457605,,1,1
457637,1,,1
457753,,34,34
457923,,1,1
458121,1,,1
458263,508,660,1168
458313,,1,1
458422,,1,1
458469,2,,2
458551,1,82,83
458643,1,,1
458764,,1,1
458823,,1,1
458837,,1,1
458839,,4,4
458908,2,3,5
459145,,1,1
459158,1,2,3
459487,,1,1
459574,,1,1
459628,,1,1
459723,3,,3
460205,1,,1
460208,1,,1
460243,3,,3
460253,,1,1
460378,,1,1
460476,,1,1
460660,,1,1
460662,,6,6
460774,,2,2
460781,,1,1
460946,2,1,3
461160,,5,5
461180,,4,4
461185,,1,1
461232,3,,3
461271,19,8,27
461360,1,6,7
461395,,1,1
461798,1,,1
461906,,2,2
461915,1,,1
461997,2,6,8
462091,,2,2
462174,,1,1
462190,,1,1
462252,,1,1
462253,,1,1
462262,2,,2
462434,,5,5
462570,,1,1
462669,2,1,3
462942,,3,3
462990,1,2,3
463024,,1,1
463133,1,,1
463198,1,,1
463265,,1,1
463310,1,,1
463319,1,2,3
463428,3,,3
463429,45,6,51
463543,2,,2
463566,5,,5
463616,2,,2
463632,,1,1
463691,4,2,6
463849,17,,17
464037,1,,1
464116,2,,2
464133,,1,1
464248,3,8,11
464287,,2,2
464646,4,,4
464670,,1,1
464678,,2,2
464765,7,5,12
464786,,30,30
464947,1,,1
465069,,1,1
465122,,1,1
465247,1,,1
465249,,3,3
465301,,1,1
465370,1,,1
465559,,1,1
465600,3,48,51
465619,,2,2
465655,,16,16
465822,1,,1
465955,,1,1
466013,1,1,2
466032,,34,34
466085,,1,1
466122,,1,1
466164,,1,1
466202,,3,3
466379,,1,1
466396,,6,6
466593,51,3,54
466780,,7,7
466796,,1,1
466935,,1,1
466963,7,1,8
466967,,1,1
467178,,1,1
467253,8,8,16
467598,3,1,4
467651,11,,11
467724,,8,8
467782,,8,8
467867,,2,2
467964,1,4,5
468198,1,,1
468379,,3,3
468742,,1,1
469234,12,28,40
469341,,2,2
469532,19,98,117
469693,1,,1
469745,4,6,10
469899,,1,1
469901,1,,1
469902,,1,1
470192,1,6,7
470609,,4,4
470947,,17,17
470991,5,,5
471014,,20,20
471017,,1,1
471056,2,,2
471113,1,,1
471218,,1,1
471265,,1,1
471327,,2,2
471333,1,,1
471405,,3,3
471437,,1,1
471713,1,,1
471781,,1,1
471892,1,,1
472393,,5,5
472561,,1,1
472784,,1,1
472909,,2,2
472977,2,,2
473091,,1,1
473220,,5,5
473243,,1,1
473462,34,1,35
473463,1,,1
473501,1,,1
473538,,2,2
473722,1,,1
473726,1,,1
473736,,1,1
473755,1,1,2
473794,1,2,3
473815,1,,1
474404,3,24,27
474567,1,,1
474576,3,,3
474672,29,14,43
474796,3,,3
474998,1,,1
475012,1,,1
475194,3,1,4
475608,5,3,8
475737,1,,1
475799,,16,16
475822,,3,3
475871,2,1,3
476169,,1,1
476199,,1,1
476576,,1,1
476585,11,5,16
476595,,1,1
476615,1,1,2
476656,,1,1
476705,5,2,7
476889,78,16,94
477108,1,,1
477153,2,,2
477162,6,1,7
477312,2,,2
477334,,1,1
477359,,1,1
477605,,1,1
477665,,2,2
477677,1,,1
477710,,1,1
477792,,1,1
477929,,1,1
478011,,2,2
478065,,1,1
478267,,7,7
478467,1,,1
478493,1,,1
478533,1,,1
478616,1,4,5
478695,3,,3
478734,1,,1
478777,,1,1
478971,,6,6
479020,1,,1
479132,,1,1
479159,1,3,4
479376,3,,3
479541,2,,2
479607,,3,3
479611,,1,1
479634,1,,1
479635,,1,1
479646,1,1,2
479776,,16,16
479887,31,14,45
480123,1,,1
480664,5,4,9
480751,1,,1
480800,,2,2
480833,1,,1
481100,,2,2
481239,,2,2
481298,,1,1
481394,,1,1
481463,,1,1
481554,3,6,9
481570,3,,3
481718,,2,2
481959,,1,1
482124,1,2,3
482160,,2,2
482525,,4,4
482575,,1,1
482667,5,,5
482892,,1,1
482935,1,,1
483035,,6,6
483054,4,,4
483174,,1,1
483204,,1,1
483219,,1,1
483229,,1,1
483333,,1,1
483549,2,1,3
483593,2,,2
483847,,7,7
484392,15,,15
484429,,1,1
484466,1,1,2
484576,1,,1
484614,,7,7
484631,,1,1
484656,2,1,3
484701,,1,1
484896,,1,1
484936,9,,9
484943,6,,6
485209,,2,2
485294,1,,1
485375,1,1,2
485522,,2,2
485528,1,,1
485604,1,14,15
485754,3,1,4
485858,49,52,101
485981,1,1,2
486032,1,,1
486136,20,3,23
486266,,1,1
486438,,11,11
486454,4,1,5
486542,2,,2
486634,,2,2
486644,,1,1
486759,15,9,24
486773,,1,1
486795,1,,1
486830,,1,1
486898,,3,3
486931,1,14,15
486956,,3,3
486960,,1,1
487020,1,,1
487040,,1,1
487101,1,,1
487176,,3,3
487337,1,1,2
487616,,1,1
488083,1,,1
488279,,1,1
488346,,1,1
488382,,1,1
488607,,1,1
488622,1,4,5
488660,1,,1
488723,1,,1
488747,,5,5
488970,,5,5
489025,,1,1
489026,,1,1
489104,11,2,13
489322,8,1,9
489380,,7,7
489455,1,,1
489494,,4,4
489562,,2,2
489684,10,,10
489696,1,,1
489746,,1,1
489947,2,,2
490075,,2,2
490141,1,,1
490185,,1,1
490343,2,,2
490594,2,,2
490631,,1,1
490650,,4,4
491044,1,,1
491139,1,,1
491158,11,4,15
491270,,1,1
491505,2,,2
491710,3,,3
491731,1,,1
491753,1,,1
491799,,2,2
491904,1,,1
491962,4,,4
492106,,1,1
492292,,4,4
492449,,1,1
492476,5,4,9
492545,,2,2
492668,,2,2
492676,1,12,13
492774,8,,8
492805,2,1,3
492908,22,1,23
493107,11,18,29
493227,2,,2
493324,1,4,5
493358,8,3,11
493452,,2,2
493489,,6,6
493492,,2,2
493637,1,,1
493785,,1,1
493880,1,,1
493993,2,,2
494019,,15,15
494158,,1,1
494194,,5,5
494292,,1,1
494355,1,,1
494362,,2,2
494403,1,1,2
494491,28,1,29
494549,2,1,3
494567,,1,1
494672,1,,1
494716,,1,1
494729,1,2,3
494771,1,14,15
494995,6,1,7
494998,1,,1
495038,1,,1
495162,3,4,7
495264,2,,2
495584,,1,1
495681,,7,7
495803,,1,1
496018,,1,1
496079,1,,1
496242,,1,1
496399,,46,46
496416,,1,1
496591,1,,1
496638,,2,2
496887,,1,1
496969,,1,1
497001,1,3,4
497025,2,11,13
497074,1,,1
497101,1,,1
497166,,1,1
497255,,1,1
497260,,1,1
497292,,2,2
497296,,1,1
497386,,2,2
497399,1,,1
497409,,1,1
497410,,1,1
497573,,1,1
497714,1,,1
497768,25,,25
497904,,1,1
497970,,3,3
498013,4,,4
498019,,2,2
498263,6,10,16
498312,,4,4
498394,2,5,7
498399,5,,5
498426,2,,2
498471,,3,3
498484,,1,1
498535,2,,2
498616,1,,1
498665,,1,1
498686,1,,1
498764,,1,1
498894,,5,5
498985,2,3,5
499054,,2,2
499216,1,4,5
499262,,1,1
499294,,1,1
499315,,2,2
499365,,1,1
499490,3,,3
499576,,1,1
499622,,6,6
499681,,3,3
499698,,1,1
499787,,1,1
499857,,2,2
499861,,6,6
499869,4,1,5
499890,,1,1
499914,1,1,2
499930,,1,1
499936,8,,8
500089,,2,2
500214,12,,12
500535,,2,2
500557,59,42,101
500566,,2,2
500667,,2,2
500851,4,2,6
500883,,6,6
500911,,1,1
500979,1,,1
500993,,1,1
501090,34,,34
501141,14,1,15
501202,4,,4
501225,7,1,8
501254,,1,1
501274,1,5,6
501454,1,,1
501497,8,2,10
501518,,1,1
501533,,1,1
501813,2,8,10
501865,2,,2
501906,,1,1
501969,,6,6
501986,,1,1
502051,1,4,5
502234,,27,27
502306,,33,33
502391,2,,2
502405,,1,1
502415,1,,1
502529,,1,1
502597,,2,2
502896,3,1,4
502928,,1,1
502944,,11,11
503051,,2,2
503074,1,,1
503217,2,,2
503312,1,,1
503346,,1,1
503358,,1,1
503447,1,,1
503661,,4,4
503662,1,,1
503697,1,10,11
503720,,1,1
503797,,1,1
503849,,4,4
503978,2,,2
504057,,1,1
504107,,1,1
504390,1,,1
504426,,1,1
504429,,2,2
504635,,3,3
504787,4,,4
504813,1,,1
504889,,1,1
504900,1,,1
505032,1,,1
505103,,3,3
505193,2,29,31
505222,,59,59
505271,3,,3
505405,55,24,79
505470,,6,6
505518,,3,3
505622,,2,2
505650,,1,1
505766,,1,1
505899,2,,2
505967,,10,10
506016,1,,1
506098,1,,1
506133,,1,1
506182,2,,2
506358,1,,1
506434,3,,3
506496,2,,2
506595,,4,4
506603,,1,1
506610,4,,4
506651,,2,2
506739,2,,2
506778,1,,1
506853,2,,2
506870,1,,1
506896,3,,3
506950,22,,22
506989,13,2,15
507111,,3,3
507145,1,,1
507171,,2,2
507278,1,2,3
507299,,1,1
507324,,1,1
507354,3,,3
507379,2,,2
507406,,1,1
507597,,3,3
507611,3,,3
507694,,1,1
507770,4,,4
507835,1,,1
507954,2,,2
508054,2,,2
508086,,1,1
508125,,1,1
508136,,1,1
508177,,1,1
508360,,1,1
508386,3,,3
508426,3,3,6
508488,,1,1
508640,,2,2
508738,1,,1
508780,,12,12
508861,4,,4
508988,3,4,7
509109,,2,2
509251,,2,2
509346,,1,1
509529,,71,71
509547,9,10,19
509578,,2,2
509614,8,,8
509670,,3,3
509678,,1,1
509758,,1,1
509839,,17,17
509912,1,,1
509941,2,,2
509943,1,11,12
510308,,2,2
510404,1,,1
510480,4,3,7
510526,,2,2
510558,2,1,3
510596,,2,2
510644,,1,1
510654,2,,2
510694,6,2,8
510781,,2,2
510797,,5,5
510896,2,,2
510985,1,8,9
510999,,7,7
511088,,1,1
511141,,1,1
511193,,5,5
511281,,1,1
511328,4,,4
511360,,17,17
511373,1,,1
511484,,4,4
511507,,1,1
511549,,14,14
511649,,1,1
511660,20,4,24
511698,,1,1
511737,,4,4
511821,13,14,27
511861,,103,103
511926,9,1,10
511953,,1,1
511999,3,,3
512000,,1,1
512061,33,7,40
512066,,1,1
512070,5,,5
512153,11,97,108
512165,3,,3
512386,,2,2
512426,1,,1
512492,,3,3
512512,,1,1
512561,1,6,7
512587,,1,1
512589,,1,1
512604,,1,1
512749,,1,1
512751,,1,1
512814,,2,2
512867,2,,2
513015,,2,2
513017,,1,1
513090,3,1,4
513124,,1,1
513218,24,3,27
513367,2,4,6
513391,,1,1
513495,1,,1
513662,,1,1
513663,90,64,154
513684,10,6,16
513833,1,,1
513856,,2,2
514028,1,,1
514085,,2,2
514101,,5,5
514115,,14,14
514277,3,2,5
514358,,1,1
514390,,3,3
514443,,2,2
514459,4,,4
514534,2,,2
514602,,1,1
514640,4,18,22
514704,,1,1
514737,,1,1
514754,,1,1
514864,,1,1
515009,3,2,5
515024,,3,3
515185,2,1,3
515378,,4,4
515450,1,1,2
515517,6,260,266
515580,,1,1
515784,,1,1
515955,,3,3
516088,,1,1
516237,,1,1
516293,,3,3
516374,,3,3
516453,2,,2
516603,1,1,2
516680,3,3,6
516685,,1,1
516734,,4,4
516773,2,,2
516793,1,3,4
516811,2,1,3
516822,7,3,10
516968,,1,1
517052,,1,1
517289,76,426,502
517354,,2,2
517459,,1,1
517487,,1,1
517515,1,8,9
517596,,4,4
517846,,5,5
517928,2,,2
517978,12,,12
518064,,2,2
518078,,1,1
518141,,1,1
518247,,3,3
518271,,1,1
518275,,1,1
518361,1,,1
518405,19,10,29
518421,,1,1
518442,1,,1
518455,2,,2
518459,3,1,4
518475,,1,1
518508,1,,1
518512,1,1,2
518653,,5,5
518678,,1,1
518682,,5,5
518708,1,1,2
518764,5,,5
518864,,1,1
518993,,1,1
519154,,1,1
519283,,1,1
519324,16,14,30
519383,,1,1
519442,1,,1
519564,,2,2
519569,,2,2
519608,6,12,18
519611,,7,7
519830,2,5,7
